payment_id,c_id,is_default
1,AE222BBOVZIF42YOOPNBXL4UUMYA,1
2,AE222FP7YRNFCEQ2W3ZDIGMSYTLQ,1
3,AE222X475JC6ONXMIKZDFGQ7IAUA,1
4,AE222Y4WTST6BUZ4J5Y2H6QMBITQ,1
5,AE2232TEZOEWQLAFEX2NA6VBGMYQ,1
6,AE22355IAQGYY4EPWWVYX25J7AHA,1
7,AE223EVQI22TZJEZG3F2PG5Y57FQ,1
8,AE223FOBUQAUOSGVCDRABQGKGVSQ,1
9,AE223N4K4ROAGJPN55UM3IYGGCOQ,1
10,AE223QFU63B3X4P437QAGGX5V3CQ,1
11,AE223RTPWMG62AWDZGIP25SOQNOA,1
12,AE223UUOHC3V2XF4JOTTDDSBODSQ,1
13,AE223WWYN72ZRICUSC44XXX76QJA,1
14,AE223YNB742YCE2HSRKGR4INFPQQ,1
15,AE2245R4KRWQUF7AFV46ZG4BBQPA,1
16,AE2246Y5EP5JBZBB2LZPNHKAK47A,1
17,AE224BWJ4436CVNISRJAMPHBAZJA,1
18,AE224HM2QAW5TTSDL2QRDERA6KMA,1
19,AE224LWIR4ZDJLRKORFHMJGABP6Q,1
20,AE224QB4K4PDIZ6FVU6MGVFEYSPQ,1
21,AE224SQWQBWVKR75TFDUARKQBIKA,1
22,AE225IKAL7QABBT2BSTLIGFKHAQQ,1
23,AE225P5MUY5NWM7QUUACAXKDAWZQ,1
24,AE225T2ZALMW2LGAWZGONMYD2VJA,1
25,AE225THXPLSO5QQ3PHQP7SPETM2A,1
26,AE225Y5ZBNT5QIVV4ZCCTTVQMMFQ,1
27,AE226AADLLWDPLLWOEGKUCBNZH4A,1
28,AE226D4AYEKPAJZPPQMFDFFM43NQ,1
29,AE226PQI7PBHFWWGSLHUMA76IEQA,1
30,AE227C3U2DDLOMLH75H465FEJAJQ,1
31,AE227W3O3ZQJ33H6OPAIFX6PNZLQ,1
32,AE22AI2MZG45D7QOPKNMWWTBBKRA,1
33,AE22ARLVNG2NGMGQYSUEUU6N3BOQ,1
34,AE22B7IAHLC4Z2T43RSBJRJKIXRA,1
35,AE22BCXGNK7GV24HSZQ2364IRDIQ,1
36,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q,1
37,AE22BL3VZBOMDLZOXHE3TOPBQKWQ,1
38,AE22BN5R7ZJZOMPH4AC6WJBCPTIA,1
39,AE22BNLZXRVB42E3N6LNGU5GVORA,1
40,AE22C2GQK3BBQNQJHVCU7KOEX5TQ,1
41,AE22C7UR3G223VSKR3EDUTQZD6ZQ,1
42,AE22CAJCTP4XAGYTC4DQT2NA7GXA,1
43,AE22CCE4VBYS2JZPIRMCXTIWRCAQ,1
44,AE22CNEQCUSRHXTD5SBMSR3DDEIQ,1
45,AE22CPIDPL43476G6HGZDYYJJ3ZQ,1
46,AE22DEFZFLUMM6QYGOS77AZU7NKA,1
47,AE22DJ3KMLPQS5JXQULPZTUDBLWQ,1
48,AE22DOZY7CRT5OJLXRRHJYO6GY2A,1
49,AE22DUJZL5RPDAAMPKNTHPABIPRA,1
50,AE22DWCI5P6NOS7UKCL4MJUUJEEQ,1
51,AE22EBF2Z3HHH2NIDGWE74GDGY7A,1
52,AE22ELR43JX5O72ARANKFALRLCRA,1
53,AE22ERAW3N4ZSEHBOFG3Q52RFOAQ,1
54,AE22ETAGRWNYRNIMBMDYDEYI7ONA,1
55,AE22EURACV6BNCXXYEWZWBKKXVNA,1
56,AE22EVNELLSBAVCV627CVCMPOCLA,1
57,AE22F2DNI7DBBKXXLQZSCFQK4W5Q,1
58,AE22F354X6XBG5OI3OHUX35HB2FA,1
59,AE22F66UFOFJR5Z6SBUDDQISNITA,1
60,AE22FCELFWR5ZZZI3R5Z5L5QZGMA,1
61,AE22FDXTBU4K22564ZBHAUFTK6EQ,1
62,AE22FGBZZ3B264XLTWV36YYVMJGA,1
63,AE22FHWM32BE6YCYDFM3NZY2BN3Q,1
64,AE22FWWFSCQOQCBFROBGLLYS5JKA,1
65,AE22G2FY634XKAK7O6D6PHKCXDHA,1
66,AE22G7TUSOCFPU7NX6C7TOOTKLKA,1
67,AE22GHDQQA45IQWIZZH6KUEJ4U4Q,1
68,AE22GJHMGDM3SYHMRSTKQDRDJNTA,1
69,AE22GTDGCDL6LZW7SCYBMA5VAAVA,1
70,AE22H277CSTEXPFCQZLNK753PICQ,1
71,AE22H5QBU3UYFHNA3S5S6DOESHYA,1
72,AE22HNPOZDZ5H2SEKGBFPNRYEBYQ,1
73,AE22HXGZQZQI4UUJ6DCHQWJ3PVHQ,1
74,AE22I7HESMIJQIYMV4R4FELZ6EVQ,1
75,AE22IAJXNFFUHRJUCEKZTD3JYIDA,1
76,AE22IPLFUERDUNHQQOPQE7HMXYCA,1
77,AE22J6SMWQO5HAG4JZODVAEMQXNQ,1
78,AE22JAWTFBVSSRAXSCH34JYTHC4Q,1
79,AE22JNRYCTYEADSVZHDMZQZHBOQA,1
80,AE22JPQNQI2KOOQPBRTNY5J4T3WA,1
81,AE22K4SIBCPAPJIYOJXRNV2SXH7Q,1
82,AE22K6CRUWMLZOWWU77J52GSA3ZQ,1
83,AE22KP5UEN7I2I6Z4CGKE5YUUWUA,1
84,AE22KWAGLLFBR56NWZ4EDKFKOJLA,1
85,AE22KZO75YFMDFKXESSZC6CR2ZGA,1
86,AE22L3RH6TNVKHO3DESZTC5XYV2A,1
87,AE22LA6AY6VURE6T6MG5NEYPPV6Q,1
88,AE22LCEUYQB5O4ETHRDUXV2CQEOA,1
89,AE22LG4NVWS4UEXERIC6KAMX4HKQ,1
90,AE22LS37PJR3FB22TNSPLVYYYCNA,1
91,AE22LTMMOESHZDAK4UZ5H4ZPLNSQ,1
92,AE22M2NJEJR4MLZ3EHJATQBC5GKA,1
93,AE22MEO6CN6Q4TPAEAUIOMTSNLCQ,1
94,AE22MJDZXYG2MIKDLASJJ7XJMUZA,1
95,AE22MNU2VLEKQH4PSFMRWYF5BANQ,1
96,AE22MOY5QH244BCBCIZOF7WY6W2Q,1
97,AE22MWQA2AGM43LNGMQZMAF4QF5A,1
98,AE22O2IICZW4B65J7476ZV25FWHQ,1
99,AE22OLMJPMDPLCYHZJ45GRJRWZWA,1
100,AE22ONBQRY6GMELNO7WOWMGOBH7A,1
