subscription_id,c_id,start_date,end_date
1,AE222Y4WTST6BUZ4J5Y2H6QMBITQ,2025-03-02,2026-03-02
2,AE22355IAQGYY4EPWWVYX25J7AHA,2025-02-25,2026-02-25
3,AE223EVQI22TZJEZG3F2PG5Y57FQ,2025-01-31,2026-01-31
4,AE223FOBUQAUOSGVCDRABQGKGVSQ,2025-02-09,2026-02-09
5,AE223N4K4ROAGJPN55UM3IYGGCOQ,2025-01-15,2026-01-15
6,AE2245R4KRWQUF7AFV46ZG4BBQPA,2025-06-02,2026-06-02
7,AE2246Y5EP5JBZBB2LZPNHKAK47A,2024-12-27,2025-12-27
8,AE224BWJ4436CVNISRJAMPHBAZJA,2025-06-02,2026-06-02
9,AE225T2ZALMW2LGAWZGONMYD2VJA,2024-08-27,2025-08-27
10,AE226D4AYEKPAJZPPQMFDFFM43NQ,2024-09-20,2025-09-20
11,AE226PQI7PBHFWWGSLHUMA76IEQA,2025-07-20,2026-07-20
12,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q,2025-07-23,2026-07-23
13,AE22BL3VZBOMDLZOXHE3TOPBQKWQ,2025-06-20,2026-06-20
14,AE22BN5R7ZJZOMPH4AC6WJBCPTIA,2024-12-09,2025-12-09
15,AE22C2GQK3BBQNQJHVCU7KOEX5TQ,2024-09-23,2025-09-23
16,AE22CCE4VBYS2JZPIRMCXTIWRCAQ,2024-09-23,2025-09-23
17,AE22DJ3KMLPQS5JXQULPZTUDBLWQ,2024-12-14,2025-12-14
18,AE22DUJZL5RPDAAMPKNTHPABIPRA,2024-08-24,2025-08-24
19,AE22DWCI5P6NOS7UKCL4MJUUJEEQ,2024-09-24,2025-09-24
20,AE22EBF2Z3HHH2NIDGWE74GDGY7A,2025-01-21,2026-01-21
21,AE22ELR43JX5O72ARANKFALRLCRA,2025-04-21,2026-04-21
22,AE22ETAGRWNYRNIMBMDYDEYI7ONA,2025-05-03,2026-05-03
23,AE22EVNELLSBAVCV627CVCMPOCLA,2025-01-28,2026-01-28
24,AE22F2DNI7DBBKXXLQZSCFQK4W5Q,2024-11-17,2025-11-17
25,AE22F66UFOFJR5Z6SBUDDQISNITA,2025-05-08,2026-05-08
