,buyer_id
0,AE222BBOVZIF42YOOPNBXL4UUMYA
1,AE222FP7YRNFCEQ2W3ZDIGMSYTLQ
2,AE222X475JC6ONXMIKZDFGQ7IAUA
3,AE222Y4WTST6BUZ4J5Y2H6QMBITQ
4,AE2232TEZOEWQLAFEX2NA6VBGMYQ
5,AE22355IAQGYY4EPWWVYX25J7AHA
6,AE223EVQI22TZJEZG3F2PG5Y57FQ
7,AE223FOBUQAUOSGVCDRABQGKGVSQ
8,AE223N4K4ROAGJPN55UM3IYGGCOQ
9,AE223QFU63B3X4P437QAGGX5V3CQ
10,AE223RTPWMG62AWDZGIP25SOQNOA
11,AE223UUOHC3V2XF4JOTTDDSBODSQ
12,AE223WWYN72ZRICUSC44XXX76QJA
13,AE223YNB742YCE2HSRKGR4INFPQQ
14,AE2245R4KRWQUF7AFV46ZG4BBQPA
15,AE2246Y5EP5JBZBB2LZPNHKAK47A
16,AE224BWJ4436CVNISRJAMPHBAZJA
17,AE224HM2QAW5TTSDL2QRDERA6KMA
18,AE224LWIR4ZDJLRKORFHMJGABP6Q
19,AE224QB4K4PDIZ6FVU6MGVFEYSPQ
20,AE224SQWQBWVKR75TFDUARKQBIKA
21,AE225IKAL7QABBT2BSTLIGFKHAQQ
22,AE225P5MUY5NWM7QUUACAXKDAWZQ
23,AE225T2ZALMW2LGAWZGONMYD2VJA
24,AE225THXPLSO5QQ3PHQP7SPETM2A
25,AE225Y5ZBNT5QIVV4ZCCTTVQMMFQ
26,AE226AADLLWDPLLWOEGKUCBNZH4A
27,AE226D4AYEKPAJZPPQMFDFFM43NQ
28,AE226PQI7PBHFWWGSLHUMA76IEQA
29,AE227C3U2DDLOMLH75H465FEJAJQ
30,AE227W3O3ZQJ33H6OPAIFX6PNZLQ
31,AE22AI2MZG45D7QOPKNMWWTBBKRA
32,AE22ARLVNG2NGMGQYSUEUU6N3BOQ
33,AE22B7IAHLC4Z2T43RSBJRJKIXRA
34,AE22BCXGNK7GV24HSZQ2364IRDIQ
35,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q
36,AE22BL3VZBOMDLZOXHE3TOPBQKWQ
37,AE22BN5R7ZJZOMPH4AC6WJBCPTIA
38,AE22BNLZXRVB42E3N6LNGU5GVORA
39,AE22C2GQK3BBQNQJHVCU7KOEX5TQ
40,AE22C7UR3G223VSKR3EDUTQZD6ZQ
41,AE22CAJCTP4XAGYTC4DQT2NA7GXA
42,AE22CCE4VBYS2JZPIRMCXTIWRCAQ
43,AE22CNEQCUSRHXTD5SBMSR3DDEIQ
44,AE22CPIDPL43476G6HGZDYYJJ3ZQ
45,AE22DEFZFLUMM6QYGOS77AZU7NKA
46,AE22DJ3KMLPQS5JXQULPZTUDBLWQ
47,AE22DOZY7CRT5OJLXRRHJYO6GY2A
48,AE22DUJZL5RPDAAMPKNTHPABIPRA
49,AE22DWCI5P6NOS7UKCL4MJUUJEEQ
50,AE22EBF2Z3HHH2NIDGWE74GDGY7A
51,AE22ELR43JX5O72ARANKFALRLCRA
52,AE22ERAW3N4ZSEHBOFG3Q52RFOAQ
53,AE22ETAGRWNYRNIMBMDYDEYI7ONA
54,AE22EURACV6BNCXXYEWZWBKKXVNA
55,AE22EVNELLSBAVCV627CVCMPOCLA
56,AE22F2DNI7DBBKXXLQZSCFQK4W5Q
57,AE22F354X6XBG5OI3OHUX35HB2FA
58,AE22F66UFOFJR5Z6SBUDDQISNITA
59,AE22FCELFWR5ZZZI3R5Z5L5QZGMA
60,AE22FDXTBU4K22564ZBHAUFTK6EQ
61,AE22FGBZZ3B264XLTWV36YYVMJGA
62,AE22FHWM32BE6YCYDFM3NZY2BN3Q
63,AE22FWWFSCQOQCBFROBGLLYS5JKA
64,AE22G2FY634XKAK7O6D6PHKCXDHA
65,AE22G7TUSOCFPU7NX6C7TOOTKLKA
66,AE22GHDQQA45IQWIZZH6KUEJ4U4Q
67,AE22GJHMGDM3SYHMRSTKQDRDJNTA
68,AE22GTDGCDL6LZW7SCYBMA5VAAVA
69,AE22H277CSTEXPFCQZLNK753PICQ
70,AE22H5QBU3UYFHNA3S5S6DOESHYA
71,AE22HNPOZDZ5H2SEKGBFPNRYEBYQ
72,AE22HXGZQZQI4UUJ6DCHQWJ3PVHQ
73,AE22I7HESMIJQIYMV4R4FELZ6EVQ
74,AE22IAJXNFFUHRJUCEKZTD3JYIDA
75,AE22IPLFUERDUNHQQOPQE7HMXYCA
76,AE22J6SMWQO5HAG4JZODVAEMQXNQ
77,AE22JAWTFBVSSRAXSCH34JYTHC4Q
78,AE22JNRYCTYEADSVZHDMZQZHBOQA
79,AE22JPQNQI2KOOQPBRTNY5J4T3WA
80,AE22K4SIBCPAPJIYOJXRNV2SXH7Q
81,AE22K6CRUWMLZOWWU77J52GSA3ZQ
82,AE22KP5UEN7I2I6Z4CGKE5YUUWUA
83,AE22KWAGLLFBR56NWZ4EDKFKOJLA
84,AE22KZO75YFMDFKXESSZC6CR2ZGA
85,AE22L3RH6TNVKHO3DESZTC5XYV2A
86,AE22LA6AY6VURE6T6MG5NEYPPV6Q
87,AE22LCEUYQB5O4ETHRDUXV2CQEOA
88,AE22LG4NVWS4UEXERIC6KAMX4HKQ
89,AE22LS37PJR3FB22TNSPLVYYYCNA
90,AE22LTMMOESHZDAK4UZ5H4ZPLNSQ
91,AE22M2NJEJR4MLZ3EHJATQBC5GKA
92,AE22MEO6CN6Q4TPAEAUIOMTSNLCQ
93,AE22MJDZXYG2MIKDLASJJ7XJMUZA
