,seller_id,p_id
0,KVSMGEV7R4DXPP23UWP71GKH499BYE,B097R46CSY
1,V7OKB7ZLGQSWH2TF77E2MHQLKEYGBF,B081GCFHPG
2,AMAZON0000000000000000001,B07T2L6JQR
3,FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B07T2L6JQR
4,D2SM3IQUHDTE8P8MLP02JGX7XRMYOW,B0738KF4ZW
5,AMAZON0000000000000000001,B01I2I9NG8
6,FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B01I2I9NG8
7,V3WNTGBDV5TYTRWZJXT6QN2QWY6LE4,B07DXQK8GL
8,QFXOAQOX0IPR5U4U4POY9YDCRG2UEH,B087NQCB49
9,VVXSX0LI34V1XL0YXFYO0GV0MBH0YW,B00I3LSLW2
10,7UZ2URWMSVH23EB1WDL0ROS1H2TTY8,B005F11WP6
11,CBMDHEXSTDZNFV9RFQY5UQM8H3C01N,B00CBY2W4U
12,QYEN2SU3AIJ4S3LP3HQF6879KGMBAS,B085BB7B1M
13,Y1N2JM3T693KZ7H987C20JMEEM965W,B07RYCJC1P
14,BJ3XZ6EC38JRB7CT50GLZHGNO6QUVQ,B00J7QCNDU
15,L1FK3AVKZURXOZCN8JO33TUZUMAO08,B00KGKQR2Y
16,MEQIC1PLW00ECO6HDMPLFQJUM1UV0K,B00J5PPA6U
17,F4SRIKRZHPQFHQYADEIP67VFSJCRVB,B0B86TKMP8
18,T8EXYT5I8ZF7KEMZ2OJVZWF5O8Y45R,B07B8XCQZW
19,WY5VUWVPY55LJZ250JWT3DBT63L2Q6,B07KGFK3SJ
20,15ORM1DY6ZXVLPSWAPRJE60OPQU9TA,B0767FBGJ7
21,AMAZON0000000000000000001,B00GMP357W
22,FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B00GMP357W
23,FSK9AY0G338L78ARCH3AJKX0JSSOC0,B086CCS4HC
24,A17XZTLBVMQZO97SVVAZZV7BCELRFI,B00J887878
25,LGKKKNQYN694NKEVT0Z160ZKA1B07S,B07MTTRDFQ
26,P6I530V1D6255338W3K82J9BPMZG04,B01IA94SZU
27,N3ELXWPF73BH63VQFXEZCC46WE3FL7,B00CP3KU4Q
28,74QFZJGIB0QQR2W2WEGP01ZWP7G0IZ,B07G3CPLQV
29,ETR9GSPNL734ORADIEQ72RPNYFQJT6,B00JDKVFR0
30,0J3Y87H59JUGVVXI0YBNZ3LMLASHVX,B077ZZLVB7
31,PV09M7Y8H9GMM0FR6RI0PRDJKKY1XG,B01NB8JP21
32,IP0JHRFSX68ZH628L3HHLEXP31USJO,B07DYJ9WJP
33,AMAZON0000000000000000001,B002B9FX5A
34,FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B002B9FX5A
35,AG7MF73IFVHIR76I5GMZULAA0AUOZ9,B07QZRJ8SH
36,1154X6VGHAV9PGKJ8N6D460AQOVID6,B09SYMS4R7
37,N2L23M5FGFUMZ2GAPP58LMW45JBJ4V,B0895CTMZJ
38,AV2YE84VQR93TKIVGHE71OPL20ENZT,B00MHVHRYW
39,7KEDAPWD2ND4LXZIUZ8V7B52NBDHUX,B00JV25ERM
40,6NTNPBJAYTEXYIS3ONQCLKXWSCJ3DH,B07NZ4F82C
41,VOPE6ZM00LM9IT4SZOQKCPLV8TBRXE,B08SGGVJKD
42,TDKLJMWCRIJJ6AKYCX7D72UJJS62CI,B00C9J08MU
43,PKAZ5LJHICBZQPTYZR7A4KZ0DYJFX4,B081NGYJJ2
44,NI8T4EGXWQB4WNXWAFMIEQ7WT9ZIHO,B00ON6W2J4
45,HA3Z50WJ87H1FQK6DIXD5WCK36R8GQ,B086NNWHP5
46,DYW8OAULUM0WTT9ASR54FK3OO1DW7L,B08F2BMTRK
47,3UO3POQUWVEWCI5FBKBDS4G60VW8XP,B00VG19U7G
48,1S71PIJJYGBDGYKV5E075ILP09KQ4F,B06XGGHYTZ
49,MW2PVWYY6TUGEI49KGG7YUVZGIZ0U1,B071J4NY8B
50,AKUQ2T47PYX6SVLFZQWGLVBPZFHR95,B07ZJKVVLW
51,1IJLKRP6XTPP9G6O3LOV13S3GX3I89,B08WPXGXWH
52,H4DH6UH0JCRXZZIXOY1MMRDTO9JSDT,B082QX2HP6
53,WOEIU6WM5BEOGGBGK2KK5NENA8II93,B00UCMO2U0
54,BEO3LFW32RSMHO7Z4H57Z45YZQ2Z9E,B01GW10W4E
55,WGH85L7ZX2R9KDN580SECRVTFWDV9E,B09C2ZW2GL
56,VWOIYCACMBC0OYN0RW2EZC6XGRRBNJ,B0773F5L73
57,G2OCGLRNIGQGQSTI6S35HE0AFMU0II,B00E4MQENM
58,BGE7P3M59ZGCNWG7QOQEAIMQDO1ECQ,B00321I2J0
59,A6Q1MZBKJ4OIRAHGGBB5GZV9N16LXP,B07TK6K8YR
60,NRY9VKC3D2XJD45FMGJ05WMRCC1JRL,B08TCCWB66
61,LMXCB2NAU6VG6DSJXVJKH267MGEMOX,B071YDJ269
62,VW6MZW9UCDH5TMNFGEUA9PFOFIU6ZM,B00NPX8QVE
63,GVKUNDGGLVC6TXFTN3DVQYL3KCECN9,B010HL2EWS
64,E2E3ZCLJ53L146FZK2W27T5IJPJFOB,B019FT4Q06
65,T4CGKYW4D7CDMX2VHLZC548S5FJ2RQ,B07D4PPY9Q
66,ZUPZXDVP3XPU1KJCH71E7Y5WUM6U8E,B07R3R2N5W
67,1K1LHNELIVKWAMAPGVWZEKEWNJZR3N,B06XPDNT7V
68,5Q4XW21OU4H1XC8Z5DFTK9N78WGJIG,B01J4IM5HO
69,AMAZON0000000000000000001,B015HLJF0W
70,FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B015HLJF0W
