,subscription_id,c_id,start_date,end_date
0,1,AE222Y4WTST6BUZ4J5Y2H6QMBITQ,2025-03-02,2026-03-02
1,2,AE22355IAQGYY4EPWWVYX25J7AHA,2025-02-25,2026-02-25
2,3,AE223EVQI22TZJEZG3F2PG5Y57FQ,2025-01-31,2026-01-31
3,4,AE223FOBUQAUOSGVCDRABQGKGVSQ,2025-02-09,2026-02-09
4,5,AE223N4K4ROAGJPN55UM3IYGGCOQ,2025-01-15,2026-01-15
5,6,AE2245R4KRWQUF7AFV46ZG4BBQPA,2025-06-02,2026-06-02
6,7,AE2246Y5EP5JBZBB2LZPNHKAK47A,2024-12-27,2025-12-27
7,8,AE224BWJ4436CVNISRJAMPHBAZJA,2025-06-02,2026-06-02
8,9,AE225T2ZALMW2LGAWZGONMYD2VJA,2024-08-27,2025-08-27
9,10,AE226D4AYEKPAJZPPQMFDFFM43NQ,2024-09-20,2025-09-20
10,11,AE226PQI7PBHFWWGSLHUMA76IEQA,2025-07-20,2026-07-20
11,12,AE22BJCLGXGMOFCGOUPWWIZH2Y6Q,2025-07-23,2026-07-23
12,13,AE22BL3VZBOMDLZOXHE3TOPBQKWQ,2025-06-20,2026-06-20
13,14,AE22BN5R7ZJZOMPH4AC6WJBCPTIA,2024-12-09,2025-12-09
14,15,AE22C2GQK3BBQNQJHVCU7KOEX5TQ,2024-09-23,2025-09-23
15,16,AE22CCE4VBYS2JZPIRMCXTIWRCAQ,2024-09-23,2025-09-23
16,17,AE22DJ3KMLPQS5JXQULPZTUDBLWQ,2024-12-14,2025-12-14
17,18,AE22DUJZL5RPDAAMPKNTHPABIPRA,2024-08-24,2025-08-24
18,19,AE22DWCI5P6NOS7UKCL4MJUUJEEQ,2024-09-24,2025-09-24
19,20,AE22EBF2Z3HHH2NIDGWE74GDGY7A,2025-01-21,2026-01-21
20,21,AE22ELR43JX5O72ARANKFALRLCRA,2025-04-21,2026-04-21
21,22,AE22ETAGRWNYRNIMBMDYDEYI7ONA,2025-05-03,2026-05-03
22,23,AE22EVNELLSBAVCV627CVCMPOCLA,2025-01-28,2026-01-28
23,24,AE22F2DNI7DBBKXXLQZSCFQK4W5Q,2024-11-17,2025-11-17
24,25,AE22F66UFOFJR5Z6SBUDDQISNITA,2025-05-08,2026-05-08
25,26,AE22FCELFWR5ZZZI3R5Z5L5QZGMA,2024-11-06,2025-11-06
26,27,AE22FDXTBU4K22564ZBHAUFTK6EQ,2024-11-25,2025-11-25
27,28,AE22FWWFSCQOQCBFROBGLLYS5JKA,2024-09-07,2025-09-07
28,29,AE22G7TUSOCFPU7NX6C7TOOTKLKA,2025-07-17,2026-07-17
29,30,AE22GHDQQA45IQWIZZH6KUEJ4U4Q,2024-10-14,2025-10-14
30,31,AE22H5QBU3UYFHNA3S5S6DOESHYA,2024-08-17,2025-08-17
31,32,AE22HXGZQZQI4UUJ6DCHQWJ3PVHQ,2025-03-12,2026-03-12
32,33,AE22IPLFUERDUNHQQOPQE7HMXYCA,2025-03-10,2026-03-10
33,34,AE22J6SMWQO5HAG4JZODVAEMQXNQ,2025-03-05,2026-03-05
34,35,AE22JAWTFBVSSRAXSCH34JYTHC4Q,2025-06-19,2026-06-19
35,36,AE22K6CRUWMLZOWWU77J52GSA3ZQ,2024-09-04,2025-09-04
36,37,AE22KP5UEN7I2I6Z4CGKE5YUUWUA,2024-09-17,2025-09-17
37,38,AE22L3RH6TNVKHO3DESZTC5XYV2A,2024-12-21,2025-12-21
38,39,AE22LG4NVWS4UEXERIC6KAMX4HKQ,2025-05-29,2026-05-29
39,40,AE22MEO6CN6Q4TPAEAUIOMTSNLCQ,2025-04-15,2026-04-15
40,41,AE22MNU2VLEKQH4PSFMRWYF5BANQ,2024-11-13,2025-11-13
41,42,AE22MOY5QH244BCBCIZOF7WY6W2Q,2024-10-07,2025-10-07
42,43,AE22O2IICZW4B65J7476ZV25FWHQ,2025-03-12,2026-03-12
