seller_id,p_id
KVSMGEV7R4DXPP23UWP71GKH499BYE,B097R46CSY
V7OKB7ZLGQSWH2TF77E2MHQLKEYGBF,B081GCFHPG
AMAZON0000000000000000001,B07T2L6JQR
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B07T2L6JQR
D2SM3IQUHDTE8P8MLP02JGX7XRMYOW,B0738KF4ZW
AMAZON0000000000000000001,B01I2I9NG8
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B01I2I9NG8
V3WNTGBDV5TYTRWZJXT6QN2QWY6LE4,B07DXQK8GL
QFXOAQOX0IPR5U4U4POY9YDCRG2UEH,B087NQCB49
VVXSX0LI34V1XL0YXFYO0GV0MBH0YW,B00I3LSLW2
7UZ2URWMSVH23EB1WDL0ROS1H2TTY8,B005F11WP6
CBMDHEXSTDZNFV9RFQY5UQM8H3C01N,B00CBY2W4U
QYEN2SU3AIJ4S3LP3HQF6879KGMBAS,B085BB7B1M
Y1N2JM3T693KZ7H987C20JMEEM965W,B07RYCJC1P
BJ3XZ6EC38JRB7CT50GLZHGNO6QUVQ,B00J7QCNDU
L1FK3AVKZURXOZCN8JO33TUZUMAO08,B00KGKQR2Y
MEQIC1PLW00ECO6HDMPLFQJUM1UV0K,B00J5PPA6U
F4SRIKRZHPQFHQYADEIP67VFSJCRVB,B0B86TKMP8
T8EXYT5I8ZF7KEMZ2OJVZWF5O8Y45R,B07B8XCQZW
WY5VUWVPY55LJZ250JWT3DBT63L2Q6,B07KGFK3SJ
15ORM1DY6ZXVLPSWAPRJE60OPQU9TA,B0767FBGJ7
AMAZON0000000000000000001,B00GMP357W
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B00GMP357W
FSK9AY0G338L78ARCH3AJKX0JSSOC0,B086CCS4HC
A17XZTLBVMQZO97SVVAZZV7BCELRFI,B00J887878
LGKKKNQYN694NKEVT0Z160ZKA1B07S,B07MTTRDFQ
P6I530V1D6255338W3K82J9BPMZG04,B01IA94SZU
N3ELXWPF73BH63VQFXEZCC46WE3FL7,B00CP3KU4Q
74QFZJGIB0QQR2W2WEGP01ZWP7G0IZ,B07G3CPLQV
ETR9GSPNL734ORADIEQ72RPNYFQJT6,B00JDKVFR0
0J3Y87H59JUGVVXI0YBNZ3LMLASHVX,B077ZZLVB7
PV09M7Y8H9GMM0FR6RI0PRDJKKY1XG,B01NB8JP21
IP0JHRFSX68ZH628L3HHLEXP31USJO,B07DYJ9WJP
AMAZON0000000000000000001,B002B9FX5A
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B002B9FX5A
AG7MF73IFVHIR76I5GMZULAA0AUOZ9,B07QZRJ8SH
1154X6VGHAV9PGKJ8N6D460AQOVID6,B09SYMS4R7
N2L23M5FGFUMZ2GAPP58LMW45JBJ4V,B0895CTMZJ
AV2YE84VQR93TKIVGHE71OPL20ENZT,B00MHVHRYW
7KEDAPWD2ND4LXZIUZ8V7B52NBDHUX,B00JV25ERM
6NTNPBJAYTEXYIS3ONQCLKXWSCJ3DH,B07NZ4F82C
VOPE6ZM00LM9IT4SZOQKCPLV8TBRXE,B08SGGVJKD
TDKLJMWCRIJJ6AKYCX7D72UJJS62CI,B00C9J08MU
PKAZ5LJHICBZQPTYZR7A4KZ0DYJFX4,B081NGYJJ2
NI8T4EGXWQB4WNXWAFMIEQ7WT9ZIHO,B00ON6W2J4
HA3Z50WJ87H1FQK6DIXD5WCK36R8GQ,B086NNWHP5
DYW8OAULUM0WTT9ASR54FK3OO1DW7L,B08F2BMTRK
3UO3POQUWVEWCI5FBKBDS4G60VW8XP,B00VG19U7G
1S71PIJJYGBDGYKV5E075ILP09KQ4F,B06XGGHYTZ
MW2PVWYY6TUGEI49KGG7YUVZGIZ0U1,B071J4NY8B
AKUQ2T47PYX6SVLFZQWGLVBPZFHR95,B07ZJKVVLW
1IJLKRP6XTPP9G6O3LOV13S3GX3I89,B08WPXGXWH
H4DH6UH0JCRXZZIXOY1MMRDTO9JSDT,B082QX2HP6
WOEIU6WM5BEOGGBGK2KK5NENA8II93,B00UCMO2U0
BEO3LFW32RSMHO7Z4H57Z45YZQ2Z9E,B01GW10W4E
WGH85L7ZX2R9KDN580SECRVTFWDV9E,B09C2ZW2GL
VWOIYCACMBC0OYN0RW2EZC6XGRRBNJ,B0773F5L73
G2OCGLRNIGQGQSTI6S35HE0AFMU0II,B00E4MQENM
BGE7P3M59ZGCNWG7QOQEAIMQDO1ECQ,B00321I2J0
A6Q1MZBKJ4OIRAHGGBB5GZV9N16LXP,B07TK6K8YR
NRY9VKC3D2XJD45FMGJ05WMRCC1JRL,B08TCCWB66
LMXCB2NAU6VG6DSJXVJKH267MGEMOX,B071YDJ269
VW6MZW9UCDH5TMNFGEUA9PFOFIU6ZM,B00NPX8QVE
GVKUNDGGLVC6TXFTN3DVQYL3KCECN9,B010HL2EWS
E2E3ZCLJ53L146FZK2W27T5IJPJFOB,B019FT4Q06
T4CGKYW4D7CDMX2VHLZC548S5FJ2RQ,B07D4PPY9Q
ZUPZXDVP3XPU1KJCH71E7Y5WUM6U8E,B07R3R2N5W
1K1LHNELIVKWAMAPGVWZEKEWNJZR3N,B06XPDNT7V
5Q4XW21OU4H1XC8Z5DFTK9N78WGJIG,B01J4IM5HO
AMAZON0000000000000000001,B015HLJF0W
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B015HLJF0W
AMAZON0000000000000000001,B07TLP6JZX
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B07TLP6JZX
XYWT827D4PTS0PAIIWQJDBJJUH0NBP,B00JZRTZVY
B4Z3CGGAF0T8QIOUDKGAGDP7S85XDV,B01EKD0ZHA
EMLBZONHQ5QGSLVT9ZERVYTVNH9CLG,B06XPQBFX8
RFH9TZT2W243AIQ6HMAIEJDOX02I98,B01E79OKY6
F47FWSTKK7US1AG8D4CVBLIZVDODFD,B01AGNLOU0
3V3PKFRVOXZ77AXCFTPINIG64IPNCA,B0039GHV5O
43ZMQ7ATHV3VTS2TSEO61MGJB4N4SJ,B077VHYNWN
F53CMFDUUMAA25MZ1G6832W89JTGUQ,B09CYPJHZ5
NJCASX31ZFEYUUMFHHHMY6BJR8NFFA,B005IYYF5E
FRU7LU7ULGAX6GVXW0ZL2Q69Y7B28Y,B01I2MU2JQ
31BJVAAG6OTB25VOMUXRMYDTCX1T71,B06XTTPKP4
NQLS3EQKAOFQPFHIK0SL3XW7HL46QA,B01CVD7BTQ
3X9XNCMPF9ZYCJV7GWKM3GG4QOKTX7,B00T2HC1V8
ZARWSQ63J7YM0VABIS21HN1FI4N7SF,B07S141T2R
SGQO5WJPEGSRITLKSM2E6N0Z55J4F8,B0BL8YXZ44
SGZNPIJYN97GIPIJNV55GCZLA0HKNT,B07MMWXPLJ
R03NI9LAGV7PYNLU3NS7T5VFQTYOMN,B07KG1TWP5
GFCBVFIH38BLWRMJEVFB7OZGOUDM90,B00L4HJX7O
0ZYRVYYHBRL2H0VOX25UUSY85YIZD1,B01BDWZLD4
3YTQGCOKRVZ98VRX2GLQDETR5B7WLK,B07P77XP44
3F2OI10G6PXK4FQPXKN0W7DBI3EBMW,B07PF8BF5S
AJ6FAGQLTBN3UWF4O50CF8TXRE3538,B00371UJAA
KMDWHHK31D8GVVR196XSK3U0H3AARD,B07M8XQ72P
RH8NHL0GJTRW0HMKD66XFSE9ZXR8Q6,B07T4V7228
8Q4LR2J0KBX85O4OO1RN2XSA8IPFUZ,B083ZCGYG3
K35S1BI1HMWTC2VODY9QNQUEUZF2LA,B07CPHJSW8
H9VRD0285WRHP4UA8KC31WLGVT064B,B08PPWRSD1
3ZCL10I571VVZLCNP3LUUNO2DZXFVH,B010SZWNP6
W1Y02TDY8LZDWRV1322MKU2BKGI7SO,B002C0NZOE
O2YY9LLQ1FBM97P62P2CLJ2IQV987H,B07MD5LRSZ
AMAZON0000000000000000001,B01LXOTW2H
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B01LXOTW2H
3HBV4LX91JZQ6IBJYT6ETCPUM2D066,B0B7MCJ618
K4MS7QHRCJHM9KOYCVQZYBUETZVC8Y,B086Q5TL92
XZ7YFATG9OE109S33A4ARV725PXDK4,B074WF5KPB
AMAZON0000000000000000001,B01CIUVTVI
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B01CIUVTVI
G7QIUA1UMB3YKVM5LBEC6THL9NHMMU,B00OS9YWJY
0F0TVAMTRFWD68S8EO6BBGGISCUV5B,B00J5BGHZW
0MFTTS6GRZUQWOKEEJG4Q6NOSMLXEI,B00KLGCU4W
ZIVJBNCM4CH71YV1RBYCZK707GVESA,B06XSGRKPZ
8X3DTB7ZFQS72XA79FZFE7V7PGG470,B07MNTRCG3
N3ELXWPF73BH63VQFXEZCC46WE3FL7,B000E39PB8
77OJKAGJ3LY06KXKGCSRIW9DTVWJ5G,B07RHL64VV
ZHTT3FXPAD4B5IGBLTOARKXJZ6UL0F,B07Q72QVF9
8Q1NV2FO24I2AAG8TWAH222V0BE7YX,B01M1OFZOG
AMAZON0000000000000000001,B09WSVFSGJ
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B09WSVFSGJ
NSANU8LU8C1UNFGH4XTSY1FLVQPMUC,B08BYMP77C
AMAZON0000000000000000001,B00HKI013Q
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B00HKI013Q
12XVHBKOU4XCLXXYI529WALHXMEH4Y,B08HWH55LX
KHS87GZR5PNJKLCOT2IVH60T2UBBYI,B00PWV79T2
QKZKEZQG1HMMRPKU0TNGW8KC4ASF86,B01E6A1WX8
72OTHP9E9XBLOS39H0POH9FK5H9QGM,B0164HF6MO
SGQO5WJPEGSRITLKSM2E6N0Z55J4F8,B08N4DC776
E02KTG37EYFIQHD139AFVOB9OCJD70,B0732SGQ7M
Z4N2CP5FGJ5PC0M895989MY0QI6ZBR,B08VX6TKFC
9YSGU9LQEEINXCK07YU8AX353M5UN9,B00TEDWJEE
85UM48UL9JMFDHEZCJZRMHL9GBMW6V,B08GQQ2MW3
IU2UJHD8L47VO1XY7G54YPLJ2BU5OP,B07W1WSJ9N
09PA12IPET3KFVBKHXCU8NS2GLHKRR,B07B9SXJ64
ROQRNPEAHCC018KZ9XX7375HDVIXTA,B0028PXRD2
7ATU3I1LGS4S7PNS5ZN6C3UTHZ83HT,B07JYYZ9Y1
OUIER8HDTMNJTWT1TZA6FKZ4MJOFCO,B07SNHG4YZ
AMAZON0000000000000000001,B0797CZTJ1
FFLB2TALJNM3XMTCJTJMFOJ8IKU3AJ,B0797CZTJ1
BWTDG093FR1RTPWSXHTE75RS5141KO,B07T9PBTX5
7MSPSUMQ4KESHP97QYQ54Z7PC66S7Z,B08C7QHDWM
3OH95ZRBE46DEMNXE4UN4K00WL7Z9I,B07Y6WBGQQ
BAWKW4KYTBSQPRC31VEN17UWZD9E3M,B0881HJ65D
22OPYMEUZP0GAQE8NZ7X2JFCBHBYXG,B077ZQ54Z3
DBBDGX1KZ9L58P3CGWTMW7OUMSUMBV,B017KQGW9E
QTFKLTU5C9O0MMWGFNOOK35V1R02NO,B07QPMXKN8
DE429X3PETCJM8TMQBXYSUI1ZZAXT8,B0087CRJ34
